Shania Twain, 48, Country
George Strait, 69, Country
Tim McGraw, 37.5, Country
Alan Jackson, 43.5, Country
Kenny Rogers, 47.5, Country
Garth Brook, 148, Country
Guns N' Roses, 44.5, Heavy Metal
Van Halen, 56.5, Heavy Metal
Metallica, 63, Heavy Metal
Led Zeppelin, 111.5, Heavy Metal
Tupac Shakur, 36.5, Hip Hop
Eminem, 44.5, Hip Hop
Phil Collins, 33.5, Pop
Britney Spears, 34, Pop
Backstreet Boys, 37, Pop
Chicago, 38.5, Pop
Reba McEntire, 41, Pop
Neil Diamond, 49.5, Pop
Fleetwood Mac, 49.5, Pop
Celine Dion, 50, Pop
U2, 52, Pop
Whitney Houston, 57, Pop
Mariah Carey, 64, Pop
Madonna, 64.5, Pop
Barbara Streisand, 68.5, Pop
Elton John, 78, Pop
Michael Jackson, 81, Pop
Dave Matthews Band, 33.5, Rock
Bon Jovi, 34.5, Rock
Queen, 34.5, Rock
Def Leppard, 35, Rock
Bob Dylan, 36, Rock
Foreigner, 37.5, Rock
Rod Stewart, 38, Rock
Simon & Garfunkel, 38.5, Rock
Eric Clapton, 40, Rock
Santana, 43.5, Rock
Bob Seger & The Silver Bullet Band, 44.5, Rock
Alabama, 46.5, Rock
Journey, 48, Rock
Bruce Springsteen, 65.5, Rock
The Rolling Stones, 66.5, Rock
AC/DC, 72, Rock
Pink Floyd, 75, Rock
Aerosmith, 66.5, Rock & Roll
Billy Joel, 82.5, Rock & Roll
Eagles, 101, Rock & Roll
Elvis Presley, 136, Rock & Roll
The Beatles, 178, Rock & Roll
Kenny G, 48, Rock & Roll
